EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
510219644,INTERNATIONAL ASSOCIATION OF LIONS CLUBS,% JAMES GARNASS,MANLY IA 50456,AFGHANISTAN,,00000-0000,0239,04,9,3000,196912,2,00,279319000,5,01,201806,0,0,02,0,06,0,0,0,,33202 MANLY
510239461,AERO FLITE DEL INC,% ROD ACCETTA,FREDERICA DE 19946,ALBANIA,,00000-0000,0000,07,3,1000,198010,2,00,000000000,1,01,201807,0,0,02,0,07,0,0,0,,
510252071,AIR FORCE SERGEANTS ASSOCIATION,% MICHAEL A WINNE,PSC 78 BOX 3013,APO,AP,96326-0031,1758,19,9,1000,197205,2,00,480908000,5,01,,0,0,01,0,12,,,,,1551 CHAPTER
510252106,AIR FORCE SERGEANTS ASSOCIATION,% ADAM MILLER JANSTA,PSC 41 BOX 4218,APO,AE,09464-0043,1758,19,9,1000,197205,2,00,480908000,5,01,,0,0,01,0,12,,,,,1669 CHAPTER
510252107,AIR FORCE SERGEANTS ASSOCIATION,% MASON HARNEY,PSC 47 BOX 1078,APO,AE,09470-0011,1758,19,9,1000,197205,2,00,480908000,5,01,,0,0,02,0,12,,,,,1665 CHAPTER
510252110,AIR FORCE SERGEANTS ASSOCIATION,% ANTHONY MARKETTE,PSC 50 BOX 962,APO,AE,09494-0010,1758,19,9,1000,197205,2,00,480908000,5,01,,0,0,02,0,12,,,,,1671 CHAPTER
510255903,ARMED FORCES COMMUNICATIONS AND ELECTRONICS ASSOCIATION,% COL JEFF SORRELL,86 MWR RAB CNTR BLDG 412 BOX 29,APO,AE,09094-0000,3185,06,9,2000,198209,2,00,065000000,1,01,201812,3,3,01,0,12,81321,85633,81234,,KAISERSLAUTERN CHAPTER
510262624,AMERICAN FRIENDS OF THE NATL MUSEUM OF BERMUDA INC,,MANGROVE BAY MA BX,BERMUDA,,00000-0000,0000,03,3,1000,198204,1,15,060030000,1,01,201912,3,4,01,0,12,92401,180742,178073,,
510324414,AEGEAN CENTER FOR THE FINE ARTS INC,% THE AEGEAN CENTER,PAROS KYKLADES GREECE 84400,GREECE,,00000-0000,0000,03,3,2000,199209,2,11,046030000,1,01,201812,4,4,01,0,12,255139,188267,188267,A6E0,
510344117,THE LAY CENTRE AT FOYER UNITAS INSTITUTE,% THE LAY CENTRE AT FOYER UNITAS IN,00184 ROME RM,ITALY,,00000-0000,0000,03,3,1200,199304,2,16,042000000,1,01,201807,4,5,01,0,07,129390,882454,882454,B80Z,
510350058,WORLD ASSISTANCE FOR CAMBODIA INC,% DEBORAH KRISHER-STEELE,TOKYO 150-0012,JAPAN,,00000-0000,0000,03,3,1000,199310,1,15,560000000,1,01,201912,6,5,01,0,12,1374644,925731,925731,Q300,
510380560,TAIPEI INTERNATIONAL CHURCH CORPORATION,% PETER YEH,TAIPEI 111,TAIWAN,,00000-0000,0000,03,3,7000,199901,1,15,000000000,1,01,201812,0,0,02,0,12,0,0,0,X21,
510381264,UNITED STATES OPEN UNIVERSITY INC,% FINANCE DIVISION,WALTON HALL MILTON KEYNES MK7 6AA,UNITED KINGDOM,,00000-0000,0000,03,3,1000,200004,2,17,000000000,1,01,201907,1,0,02,0,07,1,0,0,B40,
510381265,OPEN UNIVERSITY WORLDWIDE USA INC,% FINANCE AND BUSINESS SERVICES,MILTON KEYNES MK7 6AA,UNITED KINGDOM,,00000-0000,0000,03,3,1000,200209,2,17,000000000,1,01,201907,1,0,02,0,07,1,0,0,Q113,
510545322,LINCOLN SCHOOL FOUNDATION INC,,SAN JOSE 1919-1000,COSTA RICA,,00000-0000,0000,03,3,1000,200606,1,15,000000000,1,01,201806,3,0,02,0,06,25507,0,0,T12,
510557186,UNITED STATES BOWLING CONGRESS INC,% JOHN BREWER,MARION KS 66861,AKROTIRI,,00000-0000,4348,03,9,1000,200409,1,16,000000000,1,01,201807,0,0,02,0,07,0,0,0,N70,86212 MARION USBC
510593683,OUTPOST MINISTRIES INC,% MARK CRAWFORD,SEMMES AL 36575,AFGHANISTAN,,00000-0000,0000,03,3,2000,200811,1,15,000000000,1,01,201910,0,0,02,0,10,0,0,0,B12,
510616171,DIAMOND DEVELOPMENT INITIATIVE INTERNATIONAL,% RAY SIMMONS,OTTAWA ON K1N 7B7,CANADA,,00000-0000,0000,03,3,1200,200705,4,15,000000000,1,01,201912,4,5,01,0,12,317790,651156,651156,Q32,
510618619,MEDEX FOUNDATION INCORPORATED,% DEL J STILL,COEUR D ALENE IDAHO 83815-8648,MEXICO,,00000-0000,0000,03,3,1000,200706,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,E60,
510639437,WESTSIDE COMMUNITY FOUNDATION INC,% CLARY L PHELPS,SALISBURY NORTH CAROLINA 28145,AFGHANISTAN,,00000-0000,0000,03,3,1200,200804,1,15,000000000,1,01,202012,0,0,02,0,12,0,0,0,O50,
516018405,AMERICAN OVERSEAS SCHOOL OF ROME INC,,00189 ROME RM,ITALY,,00000-0000,0000,03,3,2000,196212,2,15,030000000,1,01,201906,8,8,01,0,06,17633755,14003474,14003474,B24Z,
516021687,AMERICAN SCHOOLS ABROAD INC,,FLORENCE 50125,ITALY,,00000-0000,0000,03,3,2000,196712,1,11,046030000,1,01,201906,7,8,01,0,06,8037302,10202242,10202242,,VILLA LE TAVERNULE VIA DEL CAROTA16
521182681,LAKEFIELD COLLEGE SCHOOL FOUNDATION AMERICAN INC,,LAKEFIELD ONTARIO K0L 2H0,CANADA,,00000-0000,0000,03,3,1000,198002,4,04,602000000,1,01,201906,1,1,00,1,06,1,7288,,Q113,
521220321,INTERNATIONAL BUSINESS AVIATION COUNCIL INC,% 999 UNIVERSITY ST STE 16 33,MONTREAL QUEBEC H3C 5J9,CANADA,,00000-0000,0000,06,3,2000,198201,2,00,200480000,1,01,201912,5,6,01,0,12,991280,2003444,2003444,,
521224848,ASSOCIATION OF NAVAL SERVICES OFFICERS INC,% ALVARO ANGEL,57 SUNSET BLVD,SAN JUAN,PR,00926-8634,0000,03,3,1000,201508,1,16,123000000,1,01,201909,0,0,02,0,09,0,0,0,S80,
521291786,ASSOCIATION FOR WOMENS RIGHTS IN DEVELOPMENT,% CHRISTINE HAYHURST,TORONTO M5T 2C7,CANADA,,00000-0000,0000,03,3,2000,198308,4,16,205123000,1,01,201912,7,6,01,0,12,5285120,3679377,3679377,Q700,
521292273,ASSOCIATION FOR RADIOLOGIC & IMAGING NURSING LLC,% PMA LLC,TORONTO M5A 3S5,CANADA,,00000-0000,0000,06,3,2000,198406,2,00,205000000,1,01,201912,4,5,01,0,12,360069,582197,579384,,
521412580,INTERNATIONAL WATER MANAGEMENT INSTITUTE,% AIARC,BATTARAMULLA VIA COLOMBO,SRI LANKA,,00000-0000,0000,03,3,1000,198601,2,15,199000000,5,01,201912,8,8,01,0,12,23163000,23491000,23491000,K22Z,
521503236,WORLD ASSOCIATION FOR INFANT MENTAL HEALTH INC,% HIRAM E FITZGERALD PHD,TAMPERE,FINLAND,,00000-0000,0000,03,3,1200,198704,2,16,123000000,1,01,201912,4,3,01,0,12,275730,65486,65486,,
521519026,SWEET ADELINES INTERNATIONAL,% FRANCIS YARDUK,SAULT STE MARIE ONTARIO P6B 5J1,CANADA,,00000-0000,1321,03,9,2000,195510,1,16,119059000,5,01,202004,0,0,02,0,04,0,0,0,,LOCK CITIES
521580447,AFRICAN ECONOMIC RESEARCH CONSORTIUM INC,,CITY SQUARE NAIROBI 00200,KENYA,,00000-0000,0000,03,3,1000,198906,0,15,124000000,5,01,202003,8,8,01,0,03,26745237,12333084,12333084,Q320,
521589141,SOCIETY OF AMERICAN MILITARY ENGINEERS,% HAROLD DOUGHERTY,LOCAL,REPUBLIC OF KOREA,,00000-0000,1278,03,9,2800,195411,0,16,059908120,5,01,201812,0,0,02,0,12,0,0,0,,S A M E KOREA POST
521655900,RESERVE OFFICERS ASSOCIATION OF TH UNITED STATES,% STEPHEN A TOWN,OME TOKYO 1980171,JAPAN,,00000-0000,2680,19,9,1000,197512,2,00,907908000,5,01,202003,0,0,02,0,03,0,0,0,,FAR EAST DEPT
521685246,THE SOCIETY FOR THE ADVANCEMENT OF SOCIO-ECONOMICS,% KATZ ABOSCH,PARIS 75007,FRANCE,,00000-0000,0000,03,3,1000,199108,2,16,123000000,1,01,201912,4,4,01,0,12,222414,436889,436889,V032,714 H GELMAN LIBRARY
521685933,AMERICAN CHAMBER FOUNDATION PHILIPPINES INC,,PALANAN 1235 MAKATI CITY,PHILIPPINES,,00000-0000,0000,03,3,1000,198808,1,15,040000000,1,01,201812,4,1,02,0,12,474459,7705,7705,B82,
521757380,LEONID KOZLOV DANCE INTERNATIONAL INC,% LEONID KOZLOV,ORANJESTAD,ARUBA,,00000-0000,0000,03,3,2000,199202,1,16,088000000,1,01,201912,0,0,02,0,12,0,0,0,A620,
521784480,CARIBBEAN ENVIRONMENT AND DEVELOPMENT INSTITUTE,% EDUARDO NEGRON NAVAS,PO BOX 366756,SAN JUAN,PR,00936-6756,0000,03,3,1000,199211,1,15,351000000,1,01,201912,1,0,02,0,12,2866,0,0,C320,
521790024,PTA MARYLAND CONGRESS OF PARENTS & TEACHERS INC,% LORA PANGRATZ,ABERDEEN MD 21001,AFGHANISTAN,,00000-0000,1999,03,9,1200,196905,1,16,059035000,5,01,202006,0,0,02,0,06,0,0,0,,ABERDEEN MIDDLE SCHOOL-HARFORD PTA
521808636,MIRANDA FOUNDATION,,PO BOX 6601,SAN JUAN,PR,00914-6601,0000,03,3,1000,199304,1,04,602000000,1,01,201909,4,4,00,1,09,298639,236846,,,
521809771,INTERNATIONAL SOCIETY FOR CELLULAR THERAPY,% ABE GRANAT,VANCOUVER BC V6C 1A5,CANADA,,00000-0000,0000,03,3,1000,199411,4,15,199000000,1,01,201912,6,6,01,0,12,3891243,2754252,2754252,,
521860470,HISPANIC EDUCATIONAL TECHNOLOGY SERVICES INC,% YUBELKYS MONTALVO,PO BOX 191293,SAN JUAN,PR,00919-1293,0000,03,3,1200,199404,1,15,994059000,1,01,201906,3,4,01,0,06,77555,226677,226677,B99,
521945379,FONDO MEXICANO PARA LA CONSERVACION DE LA NATURALEZA AC,% WORLD WILDLIFE FUND,MEXICO CITY MEXICO 03900,MEXICO,,00000-0000,0000,03,3,1200,199512,4,15,379000000,1,01,201912,9,8,01,0,12,166304059,11547074,6314980,C99Z,MEXICAN NATURE CONSERVATION FUND AC
521960422,U S FOUNDATION FOR QUEENS UNIVERSITY AT KINGSTON,% STEPHEN HORNSBY,KINGSTON ON K7L 3N6,CANADA,,00000-0000,0000,03,3,1000,199603,4,15,994000000,1,01,202004,3,6,01,0,04,39754,2239800,2239800,,
521970455,CARLETON UNIVERSITY FOUNDATION U S,% CAPLAN & DRYSDALE,OTTAWA ONTARIO K1S 5B6,CANADA,,00000-0000,0000,03,3,1000,199604,4,16,994059602,1,01,201912,3,4,01,0,12,37858,377238,377238,T30,
522005622,AMERICAN CHAMBER OF COMMERCE IN UZBEKISTAN INC,% IHOR KUNASZ,TASHKENT 100031,UZBEKISTAN,,00000-0000,0000,06,3,3000,199908,2,00,000000000,1,01,201812,3,3,01,0,12,59305,83169,83169,S41,
522007608,AMERICAN FRIENDS OF MACHON DANIEL INC,% PO BOX 43095,93878 JERUSALEM,ISRAEL,,00000-0000,0000,03,3,1000,199703,1,15,994029000,1,01,201812,1,4,01,0,12,3473,114893,114893,T99,
522039091,AMERICAN SCHOOL OF WARSAW FOUNDATION INC,% UL WARSZAWSKA 202,WARSAW 05 520,POLAND,,00000-0000,0000,03,3,1000,199809,2,15,059000000,1,01,201906,8,6,14,0,06,18368704,2273563,2273563,Q113,
522065453,INTERNATIONAL DOI FOUNDATION INC,,RICHMOND SURREY TW9 1EU,UNITED KINGDOM,,00000-0000,0000,06,3,1200,199806,2,00,200000000,1,01,201912,6,6,01,0,12,1159152,1087653,1087653,,
522254945,NIWA ENVIRONMENTAL RESEARCH INSTITUTE,% UNIVERSITY OF CONNECTICUT,AUCKLAND CENTRAL 1010 NEW ZEALAND,NEW ZEALAND,,00000-0000,0000,03,3,1000,200105,1,16,000000000,1,01,201706,0,0,02,0,06,0,0,0,C050,
522291243,FRIENDS OF THE MOROCCAN-AMERICAN COMMISSION FOUNDATION INC,% VICTOR D BLAKEWAY,10010 RABAT,MOROCCO,,00000-0000,0000,03,3,1000,200202,1,15,000000000,1,01,201909,4,1,02,0,09,292460,3078,3078,Q22,
522343746,UNIQUE XPRESSIONS MINISTRIES INC,% SHARON AMEY,PO BOX 303764,ST THOMAS,VI,00803-3764,0000,03,3,1200,201406,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,B19,
522406628,MATTOON RISK WATCH,% REX BARNES,MATTOON IL 61938,AFGHANISTAN,,00000-0000,0000,03,3,1000,200512,1,15,000000000,1,01,201909,0,0,02,0,09,0,0,0,B99,
529771107,PHILIPPINE-AMERICAN EDUCATION FOUNDATION,% 10 F AYALA LIFE FGU CENTER,1226 MAKATI CITY,PHILIPPINES,,00000-0000,0000,03,3,2000,197809,2,15,040044000,2,01,201909,7,6,01,0,09,8538818,1819285,1819285,,
541452941,JONES COUNTY IMPROVEMENT ASSOCIATION,% DANIEL J WILLIS,TRENTON NORTH CAROLINA 28585,ARMENIA,,00000-0000,0000,03,3,1000,198909,1,16,602000000,1,01,201905,0,0,02,0,05,0,0,0,,
541574776,TDC RESEARCH FOUNDATION,,ST CATHARINES CA L2T 1W7,CANADA,,00000-0000,0000,03,3,1000,199203,1,04,040000000,1,01,201912,4,2,00,1,12,199028,22976,,,
541936855,SKOPELOS FOUNDATION FOR THE ARTS,% SCOTT SOMER,SKOPELOS ISLAND 37003,GREECE,,00000-0000,0000,03,3,1200,200409,2,15,000000000,1,01,201912,4,3,02,0,12,186401,39950,39950,A20,
542070251,HEALTHY LIFESTYLE NETWORK,% HEALTHY LIFESTYLE NETWORK,PORT ANTONIO,JAMAICA,,00000-0000,0000,03,3,1000,200709,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,E70,
542101443,CHRISTIAN INTERNATIONAL NETWORK OF CHURCHES INC,% JAMES AND JANELLE DUNCAN,LADYVILLE BELIZE CENTRAL AMERICA,BELIZE,,00000-0000,5157,03,9,7000,199204,1,10,002000000,1,01,,0,0,06,0,12,,,,,EAGLES WINGS MINISTRIES INTL
542106676,WATCH TOWER BIBLE AND TRACT SOCIETY OF GUAM,% ARTHUR A WHITE,143 JEHOVAH ST,BARRIGADA,GU,96913-1264,0000,03,3,7000,200312,1,10,000000000,1,01,,0,0,06,0,08,,,,X20,
542164805,GHANATHINK FOUNDATION,% NOT APPLICABLE,TORONTO ONTARIO M9V5E7,CANADA,,00000-0000,0000,03,3,1200,201502,1,16,000000000,5,01,201912,0,0,02,0,12,0,0,0,Q20,
542190776,FRIENDS OF NSPCC FOUNDATION,% DAVID ROBERTS NSPCC,LONDON EC2A 3NH,UNITED KINGDOM,,00000-0000,0000,03,3,1000,200704,2,04,000000000,1,01,201808,1,1,00,1,08,1,1,,M23,
562053119,WORD OF LIFE DELIVERANCE CHRISTIAN CENTER,% MICHAEL HARGROVE,WILSON 27894,AFGHANISTAN,,00000-0000,0000,03,3,7000,200304,1,15,000000000,1,01,201812,0,0,02,0,12,0,0,0,X21,
562290214,FOUNDATION FOR THE TORONTO PUBLIC LIBRARY,% JEFFREY POLLOCK,TORONTO ONTARIO M4W2G8,CANADA,,00000-0000,0000,03,3,2000,200408,4,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,B117,
562331353,PUERTO RICO AFFILIATE OF THE SUSAN G KOMEN BREAST CANCER FOUNDATION I,% MARIA A BENITEZ,PO BOX 193557,SAN JUAN,PR,00919-3557,0000,03,3,2000,200705,1,15,000000000,1,01,201912,6,6,01,0,12,1437824,4099812,4099812,G32,
562382955,EPHIEL MUKAMURI FAITH LIFE GLOBAL MINISTRIES INC,% GWEN WILLIAMS,HARARE,ZIMBABWE,,00000-0000,0000,03,3,1700,201603,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,X21,
566196482,WEST MECKLENBURG HIGH SCHOOL BOOSTER CLUB INC,,CHARLOTTE 28214,AFGHANISTAN,,00000-0000,0000,03,3,1000,197701,1,16,041000000,1,01,201812,0,0,02,0,12,0,0,0,B112,
570694390,JESUS SAVES MISSION USA INC,% JOSEPH NG,SINGAPORE SN 440066,SINGAPORE,,00000-0000,0000,03,3,7000,198012,1,15,007602000,1,01,202005,0,0,02,0,05,0,0,0,,
570949912,LEE COUNTY FRIENDS OF THE LIBRARY,% DAVIS KIRKPATRICK,BISHOPVILLE SOUTH CAROLINA 29010,QATAR,,00000-0000,0000,03,3,1000,200306,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,B117,
581783205,AMERICAN ROSE SOCIETY,% JIM ANDERSON,PHOENIX AZ 85032,ALGERIA,,00000-0000,7044,03,9,2000,198306,1,16,356318319,5,01,201905,0,0,02,0,05,0,0,0,,PHOENIX ROSE SOCIETY
581834630,INTERNATIONAL CAMELLIA SOCIETY INC,,LONDON SW15 2RZ,UNITED KINGDOM,,00000-0000,0000,03,3,2000,198905,1,16,356000000,1,01,201905,4,3,02,0,05,159951,27266,27266,,
582025963,SCOUTS ON STAMPS SOCIETY INTERNATIONAL INC,% J ALEX HADDEN,RICHMOND BC CANADA V6Y 1A3,CANADA,,00000-0000,0000,03,3,2000,201611,1,16,281000000,1,01,201812,3,1,02,0,12,58386,6551,6551,O40,
582215535,SAPELO WOODS WATER SYSTEM INC,% CHARLES STRICKLAND,TOWNSEND GA 31331,GEORGIA,,00000-0000,0000,12,3,1000,201308,2,00,250000000,1,01,201912,0,0,02,0,12,0,0,0,W80,
582583732,CORINTH CEMETARY PERPETUAL CARE ORGANIZATION,% CLINELLE CARSWELL,STONE MOUNTAIN GEORGIA 30087,AKROTIRI,,00000-0000,0000,13,3,1000,200106,1,00,000000000,1,01,201909,0,0,02,0,09,0,0,0,Y50,
582635318,NATIONAL HOCKEY LEAGUE COACHES ASSOCIATION,% MICHAEL HIRSHFELD,TORONTO ONTARIO M4G 1H8,CANADA,,00000-0000,0000,06,3,2000,200303,2,00,000000000,1,01,201912,4,5,01,0,12,434135,727283,727283,S41,
586072451,PTA GEORGIA CONGRESS,% LISA HAMMONDS,ACWORTH GA 30102,GEORGIA,,00000-0000,1595,03,9,2000,196309,1,16,059035000,5,01,202005,0,0,02,0,05,0,0,0,,OAK GROVE PTA
592606654,INTERNATIONAL BUREAU FOR EPILEPSY,,BLACKROCK DUBLIN,IRELAND,,00000-0000,0000,03,3,1000,198502,2,15,000000000,5,01,201812,6,5,01,0,12,2867701,571550,571550,G54Z,
596153340,SWEET ADELINES INTERNATIONAL,% JEANETTE ROTHBERG,ANNA MARIA FL 34216,AKROTIRI,,00000-0000,1321,03,9,2000,195510,1,16,119059000,5,01,202004,0,0,02,0,04,0,0,0,,MAGIC OF MANATEE
596215265,MADISON COUNTY RECREATION ASSOCIATION INC,% EARLY ANDERSON,MADISON,UNITED KINGDOM,,00000-0000,0000,03,3,1000,200204,1,15,998000000,1,01,201712,0,0,02,0,12,0,0,0,P99,
610645199,COLONEL HARLAND SANDERS FOUNDATION INC,% WILLIAM KARNY,LOCAL,CANADA,,00000-0000,0000,03,3,1000,196412,4,04,280000000,1,01,201912,7,8,00,1,12,8249878,10408696,,,
611008635,FERN CREEK WOMANS CLUB,% MARY BAISCH,LOUISVILLE KY 40291,AFGHANISTAN,,00000-0000,0000,03,3,1200,200702,1,16,000000000,5,01,202005,0,0,02,0,05,0,0,0,T12,
611417308,SOCIEDAD AMBIENTE MARINO INC,% SAMUEL SULEIMAN,PO BOX 22158,SANJUAN,PR,00931-2158,0000,03,3,1000,201305,1,15,000000000,1,01,201812,4,4,01,0,12,207626,315677,315677,B80,
611497135,NIRVANA TEMPLE INC,% MAY TRIEU,42 KRONPRINDSENS GADE,ST THOMAS,VI,00802-0000,0000,03,3,7200,200807,1,10,000000000,1,01,,0,0,06,0,12,,,,X50,
611600780,WORLD CHILDRENS PRIZE FOR THE RIGHTS OF THE CHILD USA,,MARIEFRED 64724,SWEDEN,,00000-0000,0000,03,3,1000,201006,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,O99,
611665965,INTERNATIONAL SOCIETY OF NURSES IN CANCER CARE INC,% LINDA WATSON,VANCOUVER BC V6E 2V2,CANADA,,00000-0000,0000,03,3,1200,201304,1,15,000000000,1,01,202003,5,4,01,0,03,698782,284969,284969,E70,
611677831,GOLD WING ROAD RIDERS ASSOCIATION,% FRANCOIS SEQUIN,CURRAN ON K0B1C0,CANADA,,00000-0000,7196,04,9,1000,198302,0,00,317000000,1,01,201812,0,0,02,0,12,0,0,0,,UT-R
611697095,MICHIGAN STATE UNIVERSITY,% NATASHA OHLMAN,GRAND RAPIDS MI 49503,YEMEN,,00000-0000,5933,03,9,2000,201305,1,15,000000000,1,01,202008,0,0,02,0,08,0,0,0,,ADA ALPACA AMIGOS 4-H CLUB
611733844,ALPHA PHI OMEGA,% INTRMRCN UNV OF PRTO RICO SAN GER,PO BOX 5100,SAN GERMAN,PR,00683-9801,1113,03,9,1000,196606,1,16,036000000,5,01,201912,0,0,02,0,12,0,0,0,,PSI ETA CHAPTER
611735944,JOCKS INFLUENCE LIMITED,% BETH BISSO BLOOD,LONDON EC4M 7AN,UNITED KINGDOM,,00000-0000,0000,03,3,1000,201410,1,04,000000000,1,01,201812,4,4,00,1,12,256324,212929,,T20,
611739026,PHI THETA KAPPA FRATERNITY,% CHIEF FINANCIAL OFFICER,JACKSON MISSISSIPPI 39236,AFGHANISTAN,,00000-0000,1350,03,9,2000,195609,1,15,059000000,1,01,201912,0,0,02,0,12,0,0,0,,BETA PHI EPSILON CHAPTER
611800010,REBUILD JAPAN INITIATIVE FOUNDATION USA INC,,MINATOKU TOKYO,JAPAN,,00000-0000,0000,03,3,2000,201703,1,15,000000000,1,01,201912,4,3,01,0,12,186135,91899,91899,Q05,
611830937,BECAUSE WE CARE,% JUSTIN A O WILLIAMS,UNIT 15712 BOX 1412,APO,AP,96271-5712,0000,03,3,1200,201704,1,16,000000000,1,01,201812,1,1,02,0,12,3100,9700,8300,,
611888907,FRIENDS OF TEACH FOR CANADA INC,,TORONTO,CANADA,,00000-0000,0000,03,3,1000,202003,1,15,000000000,1,01,,0,0,02,0,08,,,,B99,
611953880,INSAN ASSOCIATION,% ROULAH HAMATI,BEIRUT 1100,LEBANON,,00000-0000,0000,03,3,1200,202006,1,15,000000000,1,01,,0,0,01,0,12,,,,P01,ACHRAFIEH ADIB ISHAK MAALOUF FL 7
626075109,ALPHA DELTA KAPPA SORORITY INC,% LESLIE SMITH,KNOXVILLE TN 37933-1012,CANADA,,00000-0000,1900,07,9,1000,197010,2,00,036319000,5,01,202005,0,0,02,0,05,0,0,0,,TENNESSEE ALPHA BETA CHAPTER
631014969,IN HIS SERVICE MINISTRIES,% JENNY MERNICKLE,EDMONTON AB T6B156,CANADA,,00000-0000,1620,03,9,7000,196402,1,10,001029000,5,01,,0,0,06,0,12,,,,,
646025908,INTERNATIONAL ASSOCIATION OF LIONS CLUBS,% RICHARD ADAMS,FULTON MS 38843,AFGHANISTAN,,00000-0000,0239,04,9,1000,194012,2,00,999000000,5,01,201906,0,0,02,0,06,0,0,0,,11111 FULTON
650225746,RELIGIOUS OF THE APOSTOLATE OF FLORIDA INC,,PO BOX 8300,PONCE,PR,00732-8300,0928,03,9,1700,194603,1,10,031150120,5,01,,0,0,06,0,12,,,,,
650909569,CHRISTIAN LEWIS CHILDRENS CANCER CARE INC,% STEEL HECTOR & DAVIS LLP,LOCAL,UNITED KINGDOM,,00000-0000,0000,03,3,1000,200004,2,04,000000000,1,01,201908,2,3,00,1,08,17543,25310,,P74,
650909590,CHRISTIAN LEWIS HOLDINGS INC,% STEEL HECTOR & DAVIS LLP,SWANSEA UNITED KINGDOM SA1 4PT,UNITED KINGDOM,,00000-0000,0000,02,3,1000,200004,2,00,000000000,1,01,202008,4,2,02,0,08,121747,24000,24000,S47,
650919929,HOUSE OF HOPE FOR COASTA RICAN CHILDREN INC,% NO,SAN JOSE SAN JOSE 1000,COSTA RICA,,00000-0000,0000,03,3,1000,199910,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,P11,
651105494,SEMBRANDO FLORES INC,% NANCY RIVERA,PO BOX 1766,DORADO,PR,00646-1766,0000,03,3,1270,200311,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,G81,
651257126,PRAISEGATE INTERNATIONAL MINISTRIES,% JONAS BERGSTEN,ARJANG VARMLAND 67294,SWEDEN,,00000-0000,0000,03,3,7000,200607,1,15,000000000,5,01,201912,0,0,02,0,12,0,0,0,X20,
651267451,FRIENDS OF NIGER,% MEREDITH MCGEHEE,DECATUR IL 62521,AFGHANISTAN,,00000-0000,0000,03,3,1000,200610,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,P99,PENNI ST HILAIRE
660056721,AMERICAN LEGION,% HARRY E TROCHE,HC 1 BOX 1151,BOQUERON,PR,00622-9796,0925,19,9,1000,194603,2,00,907908000,5,01,201912,0,0,02,0,12,0,0,0,W30,0154 LUIS HERNANDEZ RODRIGUEZ
660176861,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,,PO BOX 191982,SAN JUAN,PR,00919-1982,1156,08,9,1000,197210,1,00,279265000,5,01,,0,0,00,0,03,,,,,0972 SAN JUAN
660177776,INTER AMERICAN UNIVERSITY OF PUERTO RICO,,PO BOX 363255,SAN JUAN,PR,00936-3255,0000,03,3,2700,194307,1,11,030000000,1,01,202006,9,9,01,0,06,642140817,258264214,258264214,B430,
660177824,PRESBYTERIAN COMMUNITY HOSPITAL INC,,PO BOX 9020032,SAN JUAN,PR,00902-0032,0000,03,3,1000,194905,1,12,059179150,1,01,201906,9,9,01,0,06,51359881,62088953,61698788,,
660178704,SOCIEDAD ESPANOLA DE AUXILIO MUTUO Y BENEFICENCIA DE PUERTO RICO,,PO BOX 191227,SAN JUAN,PR,00919-1227,0000,03,1,1000,198106,1,12,150000000,1,01,201909,9,8,01,0,09,207876478,49135739,49135739,E220,
660182607,ASOCIACION DE IND DE PUERTO RICO OR PUERTO RICO MANUFTRS ASSOCIATION,,PO BOX 195477,SAN JUAN,PR,00919-5477,0000,06,3,2000,198711,2,00,200000000,1,01,201806,6,6,01,0,06,4093005,2807331,2807331,,
660183310,HOSPITAL DAMAS INC,,2013 PONCE BY PASS,PONCE,PR,00717-0000,0928,03,9,1000,199701,0,10,000000000,1,01,,0,0,06,0,12,,,,,
660189899,CENTRO UNIDO DE DETALLISTAS,,PO BOX 190127,SAN JUAN,PR,00919-0127,0000,06,3,3000,201708,2,00,000000000,1,01,201812,6,6,01,0,12,3615944,1207052,1207052,S40,
660190492,CAMARA DE COMERCIO DE PONCE Y SUR DE PUERTO RICO,,PO BOX 7455,PONCE,PR,00732-7455,0000,06,3,3000,200709,2,00,000000000,1,01,201806,4,4,01,0,06,332234,414640,414640,S41,
660190784,THE YOUNG MENS CHRISTIAN ASSOCIATION OF SAN JUAN,,800 BLV SAGRADO CORAZON ESQ LOS AN,SAN JUAN,PR,00909-0000,0000,03,3,2000,201809,1,15,324029349,1,01,201812,7,6,01,0,12,5776416,2696547,2696547,N30,
